chip,event,split,crs,h,w,label_values,vv_min,vv_max,vh_min,vh_max,wc_nodata_frac,ignore,flood_open_water,dry_open_water,flood_cropland,dry_cropland,flood_vegetation,dry_vegetation,flood_built,dry_built,flood_other,dry_other,flood_unknown,dry_unknown
Ghana_135389,Ghana,train,EPSG:4326,512,512,-1 0 1,-18.329784393310547,-1.0667792558670044,-30.259918212890625,-7.998263359069824,0.0,237520,0,0,0,10,233,24355,0,0,19,7,0,0
Ghana_141271,Ghana,valid,EPSG:4326,512,512,0 1,-21.823841094970703,4.748376369476318,-30.93682289123535,-7.106031894683838,0.0,0,0,0,86,2743,1203,255841,6,0,341,1924,0,0
Ghana_141910,Ghana,train,EPSG:4326,512,512,0 1,-47.00370407104492,1.2820369005203247,-52.01399230957031,-7.835407733917236,0.0,0,6399,1440,34271,63598,28401,123908,0,211,1579,2337,0,0
Ghana_142312,Ghana,valid,EPSG:4326,512,512,0,-24.167490005493164,-1.3450714349746704,-41.9868278503418,-8.663284301757812,0.0,0,0,0,0,158,0,257948,0,314,0,3724,0,0
Ghana_144050,Ghana,train,EPSG:4326,512,512,-1 0,-22.17821502685547,0.3896431028842926,-29.66341781616211,-8.406643867492676,0.0,238593,0,0,0,10623,0,12031,0,411,0,486,0,0
Ghana_146222,Ghana,train,EPSG:4326,512,512,-1 0,-18.969100952148438,-0.34680506587028503,-25.991682052612305,-6.960108757019043,0.0,80488,0,0,0,15175,0,166286,0,0,0,195,0,0
Ghana_147015,Ghana,train,EPSG:4326,512,512,0 1,-24.409690856933594,5.363552570343018,-40.818878173828125,-7.601754665374756,0.0,0,0,0,181,10876,2870,246364,0,22,479,1352,0,0
Ghana_154838,Ghana,train,EPSG:4326,512,512,-1 0,-19.654380798339844,-0.9819384217262268,-28.803604125976562,-8.5542573928833,0.0,220037,0,0,0,16763,0,25321,0,0,0,23,0,0
Ghana_156478,Ghana,train,EPSG:4326,512,512,0,-19.7031192779541,0.6663958430290222,-28.585163116455078,-7.053567886352539,0.0,0,0,0,0,152388,0,107339,0,1106,0,1311,0,0
Ghana_161233,Ghana,train,EPSG:4326,512,512,-1 0,-21.622703552246094,-5.255764007568359,-29.45413589477539,-10.63895034790039,0.0,260252,0,0,0,580,0,1312,0,0,0,0,0,0
Ghana_167233,Ghana,valid,EPSG:4326,512,512,0,-19.406476974487305,-1.4234942197799683,-31.703296661376953,-7.901623249053955,0.0,0,0,0,0,1171,0,260472,0,0,0,501,0,0
Ghana_168875,Ghana,train,EPSG:4326,512,512,-1 0,-16.644424438476562,-1.3060053586959839,-27.485414505004883,-7.546716213226318,0.0,220348,0,0,0,0,0,41796,0,0,0,0,0,0
Ghana_187318,Ghana,train,EPSG:4326,512,512,0,-24.8123836517334,-0.4809912145137787,-28.88812828063965,-7.278665065765381,0.0,0,0,0,0,182,0,260363,0,0,0,1599,0,0
Ghana_194723,Ghana,train,EPSG:4326,512,512,-1 0,-31.465248107910156,-0.0626387894153595,-37.3897705078125,-7.9995574951171875,0.0,214736,0,60,0,38019,0,8935,0,7,0,387,0,0
Ghana_234935,Ghana,valid,EPSG:4326,512,512,-1,nan,nan,nan,nan,0.0,262144,0,0,0,0,0,0,0,0,0,0,0,0
Ghana_247288,Ghana,train,EPSG:4326,512,512,-1 0 1,-41.867149353027344,6.081125736236572,-47.501583099365234,-7.234699249267578,0.0,221970,3162,239,2104,360,20038,11179,27,855,1319,891,0,0
Ghana_24858,Ghana,train,EPSG:4326,512,512,0 1,-21.869802474975586,2.3687150478363037,-27.676944732666016,-5.7996625900268555,0.0,0,0,0,7,105880,386,153145,8,1282,83,1353,0,0
Ghana_26376,Ghana,train,EPSG:4326,512,512,-1,nan,nan,nan,nan,0.0,262144,0,0,0,0,0,0,0,0,0,0,0,0
Ghana_264787,Ghana,train,EPSG:4326,512,512,-1 0,-21.75059700012207,-0.7550718784332275,-27.1519718170166,-6.6780009269714355,0.0,80169,0,0,0,23743,0,156325,0,0,0,1907,0,0
Ghana_277,Ghana,valid,EPSG:4326,512,512,-1,nan,nan,nan,nan,0.0,262144,0,0,0,0,0,0,0,0,0,0,0,0
Ghana_308249,Ghana,valid,EPSG:4326,512,512,0 1,-31.606164932250977,-0.6949998140335083,-43.23710250854492,-7.647477626800537,0.0,0,1443,91,2729,88784,3535,162177,0,1167,323,1895,0,0
Ghana_313799,Ghana,valid,EPSG:4326,512,512,-1 0 1,-26.14348030090332,-0.2598145604133606,-37.855064392089844,-6.627669334411621,0.0,17680,0,0,274,2728,14184,226548,0,0,475,255,0,0
Ghana_319168,Ghana,valid,EPSG:4326,512,512,-1 0 1,-33.995445251464844,0.48615479469299316,-47.28995895385742,-0.6350928544998169,0.0,90520,98,0,13979,75742,24402,53645,28,2294,1014,422,0,0
Ghana_359826,Ghana,valid,EPSG:4326,512,512,0 1,-32.1573600769043,1.7683868408203125,-49.14693832397461,-7.016384601593018,0.0,0,0,0,656,14076,2736,243259,0,355,104,958,0,0
Ghana_362274,Ghana,train,EPSG:4326,512,512,-1 0 1,-38.66444396972656,1.060044288635254,-49.38657760620117,-8.033466339111328,0.0,2737,46,7,4666,65717,13536,174003,0,783,116,533,0,0
Ghana_406026,Ghana,valid,EPSG:4326,512,512,0 1,-46.683616638183594,2.211312770843506,-47.640995025634766,-8.382214546203613,0.0,0,1645,139,709,119239,1237,131617,0,1217,714,5627,0,0
Ghana_45911,Ghana,train,EPSG:4326,512,512,-1 0,-17.907333374023438,-1.6276148557662964,-25.063199996948242,-7.397242546081543,0.0,232875,0,0,0,692,0,28576,0,0,0,1,0,0
Ghana_495107,Ghana,valid,EPSG:4326,512,512,0 1,-22.456378936767578,0.8427680134773254,-35.89622497558594,-7.3843488693237305,0.0,0,0,0,597,24661,3341,233201,0,0,21,323,0,0
Ghana_49890,Ghana,train,EPSG:4326,512,512,0,-20.357154846191406,-1.0393366813659668,-33.13071823120117,-8.277268409729004,0.0,0,0,0,0,2665,0,259050,0,0,0,429,0,0
Ghana_5079,Ghana,valid,EPSG:4326,512,512,-1,nan,nan,nan,nan,0.0,262144,0,0,0,0,0,0,0,0,0,0,0,0
Ghana_53713,Ghana,valid,EPSG:4326,512,512,0,-20.834808349609375,-0.36368072032928467,-31.463926315307617,-8.686059951782227,0.0,0,0,0,0,9557,0,252559,0,0,0,28,0,0
Ghana_597288,Ghana,train,EPSG:4326,512,512,0 1,-30.958139419555664,4.02759313583374,-47.094303131103516,-5.914017677307129,0.0,0,160,0,352,24344,4913,225042,5,639,260,6429,0,0
Ghana_61925,Ghana,train,EPSG:4326,512,512,0 1,-35.04561996459961,-1.0659159421920776,-51.49372863769531,-6.789277076721191,0.0,0,258,0,199,22515,13,238019,0,42,181,917,0,0
Ghana_7496,Ghana,train,EPSG:4326,512,512,0,-19.681922912597656,-1.176804542541504,-30.300926208496094,-6.545165061950684,0.0,0,0,0,0,28670,0,233270,0,0,0,204,0,0
Ghana_8090,Ghana,train,EPSG:4326,512,512,-1 0 1,-19.748449325561523,-0.8957521915435791,-28.036359786987305,-7.834022045135498,0.0,67478,0,0,0,856,0,192811,0,0,4,995,0,0
Ghana_83200,Ghana,train,EPSG:4326,512,512,-1 0 1,-22.962343215942383,-0.4719741940498352,-32.18769836425781,-8.266036987304688,0.0,163929,0,0,420,48134,112,47718,0,1211,1,619,0,0
Ghana_83483,Ghana,valid,EPSG:4326,512,512,-1,nan,nan,nan,nan,0.0,262144,0,0,0,0,0,0,0,0,0,0,0,0
Ghana_866994,Ghana,valid,EPSG:4326,512,512,-1 0 1,-47.27793884277344,7.897639751434326,-55.052947998046875,-7.8792266845703125,0.0,144633,84092,11046,5599,134,14855,325,413,0,1012,35,0,0
Ghana_868803,Ghana,valid,EPSG:4326,512,512,0 1,-42.78726577758789,1.5702232122421265,-53.264976501464844,-7.458230972290039,0.0,0,11065,116,52028,86587,76491,28960,0,1812,4467,618,0,0
Ghana_887131,Ghana,train,EPSG:4326,512,512,0 1,-28.248119354248047,0.5559736490249634,-47.41618347167969,-7.493337631225586,0.0,0,0,0,2509,49731,7269,201934,0,0,297,404,0,0
Ghana_895194,Ghana,valid,EPSG:4326,512,512,-1 0 1,-30.22317886352539,1.5611845254898071,-47.43441390991211,-6.866971492767334,0.0,9438,0,0,5044,77573,3632,164125,0,685,21,1626,0,0
Ghana_953791,Ghana,train,EPSG:4326,512,512,0 1,-29.255308151245117,1.6661620140075684,-44.252525329589844,-8.281761169433594,0.0,0,0,0,1235,158420,1463,93508,0,4748,74,2696,0,0
Ghana_97059,Ghana,valid,EPSG:4326,512,512,-1 0,-26.313440322875977,-1.0892252922058105,-44.361087799072266,-6.893433094024658,0.0,234750,0,22,0,7470,0,19758,0,0,0,144,0,0
Ghana_97516,Ghana,train,EPSG:4326,512,512,-1 0 1,-31.791528701782227,0.6991075873374939,-47.023780822753906,-7.449826717376709,0.0,74589,186,67,13,92462,318,88565,0,816,254,4874,0,0
India_1017769,India,train,EPSG:4326,512,512,-1 0 1,-50.74601745605469,1.4039870500564575,-53.53538131713867,-6.851314067840576,0.0,89173,79545,27302,5414,23238,792,16790,0,0,12392,7498,0,0
India_1018317,India,valid,EPSG:4326,512,512,-1 0 1,-47.723121643066406,1.7570911645889282,-56.850257873535156,-7.39254903793335,0.0,65167,108550,26719,3780,4767,286,1034,0,1,38094,13746,0,0
India_1018327,India,valid,EPSG:4326,512,512,-1 0 1,-48.30550003051758,21.734254837036133,-48.32838821411133,7.1483941078186035,0.0,2,839,7,22318,119992,5129,98593,22,1968,8341,4933,0,0
India_103447,India,train,EPSG:4326,512,512,-1 0 1,-35.024864196777344,10.320901870727539,-48.06550216674805,7.414898872375488,0.0,98577,17482,4386,5534,67482,469,58398,1,838,3491,5486,0,0
India_1050276,India,valid,EPSG:4326,512,512,-1 0 1,-30.722150802612305,16.914295196533203,-48.08401107788086,4.926021575927734,0.0,6959,4703,369,37443,126289,2676,61802,46,4000,4137,13720,0,0
India_1068117,India,valid,EPSG:4326,512,512,-1 0 1,-47.23122787475586,17.87894630432129,-49.90521240234375,10.780976295471191,0.0,32432,7619,1062,30723,98002,6115,75617,73,3654,3430,3417,0,0
India_1072277,India,train,EPSG:4326,512,512,-1 0 1,-27.218896865844727,14.217148780822754,-47.85340881347656,6.320088863372803,0.0,2,0,0,21444,122760,509,115175,3,386,590,1275,0,0
India_118868,India,valid,EPSG:4326,512,512,-1 0 1,-72.6576919555664,16.25044822692871,-78.15071105957031,6.3122358322143555,0.0,102869,0,0,6839,25817,3338,122322,6,96,502,355,0,0
India_135434,India,train,EPSG:4326,512,512,-1 0 1,-34.53193664550781,13.41921615600586,-47.468414306640625,-1.6296980381011963,0.0,144994,5279,1488,2173,40872,5,60736,13,811,2842,2931,0,0
India_136196,India,train,EPSG:4326,512,512,-1 0,-31.234445571899414,8.933173179626465,-47.74314498901367,0.11700110137462616,0.0,50400,0,0,0,783,0,210934,0,0,0,27,0,0
India_164336,India,valid,EPSG:4326,512,512,-1 0 1,-23.524127960205078,13.94088077545166,-43.072853088378906,7.236952781677246,0.0,3043,0,0,1073,83687,707,172223,7,504,94,806,0,0
India_166709,India,train,EPSG:4326,512,512,-1 0 1,-23.38611602783203,4.845066070556641,-48.0546760559082,-2.8133862018585205,0.0,5250,0,0,6446,113848,994,128825,8,415,1391,4967,0,0
India_177319,India,train,EPSG:4326,512,512,-1 0 1,-22.91071891784668,10.506058692932129,-36.461116790771484,4.103365898132324,0.0,5654,0,0,744,28172,818,226094,0,121,16,525,0,0
India_179238,India,train,EPSG:4326,512,512,-1 0 1,-23.72027015686035,13.025178909301758,-45.91145706176758,4.6203742027282715,0.0,69662,0,0,10428,117153,586,59034,8,217,570,4486,0,0
India_180633,India,valid,EPSG:4326,512,512,-1 0 1,-47.91963195800781,5.88969612121582,-47.92287063598633,-0.35366740822792053,0.0,97589,69215,22799,3056,37782,1099,25824,0,144,2393,2243,0,0
India_207862,India,train,EPSG:4326,512,512,-1 0 1,-30.213293075561523,16.089082717895508,-47.67412185668945,6.533969402313232,0.0,62029,5,0,19073,110360,1465,63618,2,2110,483,2999,0,0
India_244057,India,valid,EPSG:4326,512,512,-1 0 1,-33.47003173828125,9.367094039916992,-47.95560836791992,1.8859844207763672,0.0,101607,0,0,0,189,5,159995,0,4,0,344,0,0
India_25540,India,train,EPSG:4326,512,512,-1 0 1,-23.15297508239746,14.669412612915039,-46.631187438964844,4.855196952819824,0.0,73519,0,0,11264,56956,222,119679,2,59,71,372,0,0
India_265762,India,train,EPSG:4326,512,512,-1 0 1,-24.210243225097656,19.41176986694336,-47.95326232910156,12.405827522277832,0.0,114848,0,0,6449,64450,1465,64257,36,3703,583,6353,0,0
India_273873,India,train,EPSG:4326,512,512,-1 0 1,-34.578773498535156,9.03127384185791,-47.69297409057617,1.251583456993103,0.0,106536,0,0,1,0,3341,150106,26,0,2078,56,0,0
India_285297,India,train,EPSG:4326,512,512,-1 0 1,-40.93282699584961,19.613025665283203,-47.662391662597656,12.022953987121582,0.0,17102,0,0,31983,116112,3602,87288,30,2510,391,3126,0,0
India_287642,India,train,EPSG:4326,512,512,-1 0 1,-28.320728302001953,9.139467239379883,-47.554012298583984,-5.72221040725708,0.0,146767,0,0,15319,60197,1592,27157,14,1969,989,8140,0,0
India_324254,India,train,EPSG:4326,512,512,0 1,-25.558988571166992,16.531782150268555,-34.89799118041992,9.225789070129395,0.0,0,0,0,2834,21611,694,236008,0,180,355,462,0,0
India_373039,India,train,EPSG:4326,512,512,-1 0 1,-28.684608459472656,8.62438678741455,-47.620601654052734,2.1634349822998047,0.0,19361,0,0,0,3,654,239686,0,0,855,1585,0,0
India_383430,India,train,EPSG:4326,512,512,-1 0 1,-44.11168670654297,15.132442474365234,-48.09110641479492,7.660780429840088,0.0,10873,213,174,30619,147056,6906,61142,1,533,1489,3138,0,0
India_391908,India,train,EPSG:4326,512,512,-1 0 1,-31.256975173950195,10.478002548217773,-48.20242691040039,1.5298054218292236,0.0,50312,4160,354,16138,137951,2301,31849,23,3391,3367,12298,0,0
India_399883,India,valid,EPSG:4326,512,512,-1 0 1,-48.932979583740234,0.924241840839386,-56.64678192138672,-4.948674201965332,0.0,25,97819,62566,15145,21569,11155,39766,1,0,12172,1926,0,0
India_44475,India,valid,EPSG:4326,512,512,-1 0,-24.184703826904297,5.990004062652588,-38.05335235595703,-0.260789155960083,0.0,1969,0,0,0,68,0,260095,0,0,0,12,0,0
India_500266,India,train,EPSG:4326,512,512,-1 0 1,-27.738290786743164,13.66256332397461,-46.984840393066406,5.407844543457031,0.0,3,7,29,32447,148745,4334,57641,40,4143,1353,13402,0,0
India_533192,India,valid,EPSG:4326,512,512,-1 0 1,-87.50163269042969,12.194382667541504,-87.50163269042969,7.255858421325684,0.0,141483,35841,13927,2063,49209,187,6534,0,41,5153,7706,0,0
India_534470,India,train,EPSG:4326,512,512,-1 0 1,-24.918350219726562,14.339391708374023,-47.1828727722168,6.245117664337158,0.0,11574,8,0,7079,152020,116,84542,2,1822,229,4752,0,0
India_56450,India,train,EPSG:4326,512,512,-1 0 1,-24.93910789489746,17.049142837524414,-36.1848030090332,9.9008207321167,0.0,80896,0,0,62,3673,18,177374,0,28,2,91,0,0
India_566697,India,train,EPSG:4326,512,512,-1 0 1,-28.041501998901367,18.989574432373047,-47.75184631347656,5.557286262512207,0.0,46441,0,0,12873,87994,792,107763,1,1277,1053,3950,0,0
India_570384,India,valid,EPSG:4326,512,512,-1 0 1,-35.215152740478516,13.73193073272705,-50.00730895996094,8.522713661193848,0.0,20144,3258,313,8752,136776,672,84619,2,331,1864,5413,0,0
India_591317,India,valid,EPSG:4326,512,512,-1 0 1,-49.67542266845703,10.636155128479004,-53.18480682373047,-0.548915445804596,0.0,16095,97840,9770,7076,42366,2247,73112,1,1755,6875,5007,0,0
India_591549,India,train,EPSG:4326,512,512,-1 0 1,-30.96001434326172,24.666152954101562,-41.364959716796875,17.376384735107422,0.0,16435,58,12,9443,104299,797,109488,80,9187,676,11669,0,0
India_592446,India,valid,EPSG:4326,512,512,-1 0 1,-44.329437255859375,7.660681247711182,-48.4382438659668,-3.9168131351470947,0.0,37789,5317,1232,329,35068,1794,175373,2,166,1602,3472,0,0
India_59460,India,train,EPSG:4326,512,512,-1 0 1,-28.737777709960938,9.932669639587402,-42.24137496948242,4.643434047698975,0.0,52791,0,0,173,1985,137,206983,0,1,5,69,0,0
India_624341,India,train,EPSG:4326,512,512,-1 0 1,-26.693893432617188,17.538829803466797,-45.546791076660156,5.842587947845459,0.0,2,0,0,104,3947,2479,253378,0,96,641,1497,0,0
India_631692,India,valid,EPSG:4326,512,512,0 1,-24.175580978393555,2.5097672939300537,-29.22733497619629,-4.457502841949463,0.0,0,0,0,1,640,787,260420,0,0,14,282,0,0
India_652725,India,train,EPSG:4326,512,512,-1 0 1,-37.160160064697266,18.260488510131836,-47.62818145751953,8.753785133361816,0.0,50,74,104,16168,144967,3240,88857,35,884,2278,5487,0,0
India_664410,India,train,EPSG:4326,512,512,-1 0 1,-29.8994197845459,7.957015037536621,-47.92378616333008,-3.243798017501831,0.0,2,4,0,9540,207495,754,36089,0,587,3228,4445,0,0
India_691027,India,valid,EPSG:4326,512,512,-1 0 1,-29.535512924194336,15.77019214630127,-48.302371978759766,9.084555625915527,0.0,8110,0,0,4675,84518,2327,157686,5,572,1387,2864,0,0
India_698338,India,train,EPSG:4326,512,512,-1 0 1,-23.44485092163086,21.434837341308594,-48.17338180541992,13.438753128051758,0.0,34160,0,0,5218,124924,283,86410,9,419,4426,6295,0,0
India_70352,India,valid,EPSG:4326,512,512,-1 0 1,-47.78550338745117,10.22805404663086,-47.881507873535156,1.7114975452423096,0.0,22915,7145,1152,1470,163623,1667,46490,0,2441,2906,12335,0,0
India_707886,India,train,EPSG:4326,512,512,-1 0 1,-45.424644470214844,7.687286853790283,-47.89493942260742,1.9563871622085571,0.0,5263,2699,379,822,99209,1099,148829,0,771,1048,2025,0,0
India_73419,India,train,EPSG:4326,512,512,-1 0 1,-30.22062110900879,17.157724380493164,-40.12138366699219,9.078089714050293,0.0,83210,0,0,3906,100764,1812,67260,12,857,522,3801,0,0
India_747970,India,train,EPSG:4326,512,512,-1 0 1,-31.350502014160156,16.39934539794922,-47.908687591552734,8.042376518249512,0.0,15627,338,33,870,33405,2487,201941,0,690,1312,5441,0,0
India_747992,India,valid,EPSG:4326,512,512,-1 0 1,-38.07270812988281,9.851446151733398,-47.86728286743164,-1.39195716381073,0.0,57,3,0,111898,94674,1492,32384,327,8121,3602,9586,0,0
India_764946,India,valid,EPSG:4326,512,512,-1 0 1,-27.6104679107666,3.2757630348205566,-40.195003509521484,-2.9938344955444336,0.0,19642,607,74,140,462,2268,238703,0,0,131,117,0,0
India_769408,India,valid,EPSG:4326,512,512,-1 0 1,-29.440937042236328,16.768476486206055,-47.59795379638672,-0.24931353330612183,0.0,86237,209,88,6523,104309,560,51948,9,2555,1281,8425,0,0
India_772630,India,valid,EPSG:4326,512,512,-1 0 1,-29.494007110595703,11.588814735412598,-43.365379333496094,1.9575787782669067,0.0,106812,26,8,16,188,540,152854,1,182,762,755,0,0
India_773682,India,train,EPSG:4326,512,512,-1 0 1,-34.34920120239258,11.680649757385254,-47.6882209777832,1.7223070859909058,0.0,9351,0,42,29535,161867,713,53536,4,2934,707,3455,0,0
India_774689,India,train,EPSG:4326,512,512,-1 0 1,-42.972900390625,14.318520545959473,-47.70676803588867,2.5531578063964844,0.0,25028,707,427,12930,139254,4469,75214,8,809,643,2655,0,0
India_79637,India,valid,EPSG:4326,512,512,0 1,-27.05678939819336,6.290122032165527,-47.405487060546875,-0.4672885239124298,0.0,0,0,0,3328,142242,1181,113209,10,270,646,1258,0,0
India_80221,India,valid,EPSG:4326,512,512,-1 0 1,-47.691627502441406,-1.0696967840194702,-53.199344635009766,-6.760001182556152,0.0,110351,81854,19882,1706,6802,241,1674,0,11,30705,8918,0,0
India_804466,India,train,EPSG:4326,512,512,-1 0 1,-33.73932647705078,8.92487621307373,-47.7435417175293,-2.6379475593566895,0.0,10,892,125,45508,131275,1271,72677,20,2670,2537,5159,0,0
India_828067,India,valid,EPSG:4326,512,512,-1 0 1,-30.58640480041504,19.380794525146484,-48.2692985534668,11.045951843261719,0.0,79024,0,0,2966,56973,2132,110662,19,3772,1877,4719,0,0
India_833266,India,valid,EPSG:4326,512,512,-1 0 1,-30.23045539855957,21.087770462036133,-45.5046272277832,12.694729804992676,0.0,42470,6,0,17261,112729,818,83823,33,2178,144,2682,0,0
India_842775,India,train,EPSG:4326,512,512,-1 0 1,-24.075664520263672,18.926128387451172,-44.20407485961914,10.17697811126709,0.0,15726,0,0,5369,162049,325,75216,4,633,231,2591,0,0
India_869358,India,valid,EPSG:4326,512,512,0 1,-29.265640258789062,18.669315338134766,-47.9835319519043,8.306883811950684,0.0,0,3,6,3341,194588,139,53037,0,5036,1567,4427,0,0
India_900498,India,valid,EPSG:4326,512,512,-1 0 1,-48.26825714111328,2.0556297302246094,-53.7394905090332,-5.647802352905273,0.0,152,100568,41772,10205,65260,619,14781,7,35,12554,16191,0,0
India_91379,India,train,EPSG:4326,512,512,-1 0 1,-29.40143585205078,18.39676856994629,-47.9688835144043,10.509784698486328,0.0,11,341,54,25025,172992,1081,45085,47,3041,3100,11367,0,0
India_943439,India,train,EPSG:4326,512,512,-1 0 1,-47.95964813232422,12.625666618347168,-48.833168029785156,4.796529293060303,0.0,12048,3857,595,33044,122112,9185,77682,9,895,1514,1203,0,0
India_952728,India,valid,EPSG:4326,512,512,-1 0 1,-31.619060516357422,20.504467010498047,-48.283687591552734,12.556062698364258,0.0,73428,64,31,5169,127463,237,51999,7,864,371,2511,0,0
India_956930,India,train,EPSG:4326,512,512,-1 0 1,-36.52406311035156,21.5538387298584,-48.570621490478516,8.801491737365723,0.0,25014,1654,43,29047,146534,7454,44093,0,498,1941,5866,0,0
India_979278,India,train,EPSG:4326,512,512,-1 0 1,-39.01594543457031,6.60865592956543,-45.624298095703125,-4.876285076141357,0.0,156154,2662,788,1371,72297,1167,25249,0,825,237,1394,0,0
India_981708,India,train,EPSG:4326,512,512,-1 0 1,-65.45004272460938,20.16878318786621,-71.63967895507812,12.642666816711426,0.0,42151,0,0,9837,65996,411,141908,1,751,97,992,0,0
Mekong_1111068,Mekong,test,EPSG:4326,512,512,-1 0 1,-25.876781463623047,9.312369346618652,-47.227386474609375,-0.7480763792991638,0.0,46,0,0,6372,131744,910,112700,5,2875,162,7330,0,0
